open,high,low,close,volume,date,symbol,historyType
160.4000,160.4400,160.3500,160.3500,2685,2023-03-29 20:00:00,AAPL,ONE_DAY
160.3100,160.4000,160.2900,160.4000,2593,2023-03-29 19:55:00,AAPL,ONE_DAY
160.2800,160.2800,160.2100,160.2700,1911,2023-03-29 19:50:00,AAPL,ONE_DAY
160.4800,160.4900,160.2500,160.2500,5769,2023-03-29 19:45:00,AAPL,ONE_DAY
160.5200,160.5200,160.4800,160.4800,7985,2023-03-29 19:40:00,AAPL,ONE_DAY
160.5700,160.5700,160.5300,160.5300,2006,2023-03-29 19:35:00,AAPL,ONE_DAY
160.5600,160.5600,160.5500,160.5500,397,2023-03-29 19:30:00,AAPL,ONE_DAY
160.5500,160.5500,160.5500,160.5500,365,2023-03-29 19:25:00,AAPL,ONE_DAY
160.5300,160.6000,160.5300,160.6000,1053,2023-03-29 19:20:00,AAPL,ONE_DAY
160.5600,160.5600,160.5600,160.5600,139,2023-03-29 19:15:00,AAPL,ONE_DAY
160.5800,160.5900,160.5200,160.5200,1527,2023-03-29 19:10:00,AAPL,ONE_DAY
160.5999,160.5999,160.5999,160.5999,182,2023-03-29 19:05:00,AAPL,ONE_DAY
160.5900,160.5900,160.5600,160.5900,2124,2023-03-29 19:00:00,AAPL,ONE_DAY
160.5500,160.5600,160.5500,160.5600,666,2023-03-29 18:55:00,AAPL,ONE_DAY
160.5600,160.5600,160.5600,160.5600,652,2023-03-29 18:50:00,AAPL,ONE_DAY
160.5100,160.5100,160.5100,160.5100,394,2023-03-29 18:45:00,AAPL,ONE_DAY
160.5500,160.5500,160.5100,160.5100,2180,2023-03-29 18:40:00,AAPL,ONE_DAY
160.6000,160.6300,160.6000,160.6300,3272,2023-03-29 18:35:00,AAPL,ONE_DAY
160.6400,160.6500,160.6100,160.6100,1524,2023-03-29 18:30:00,AAPL,ONE_DAY
160.6300,160.6300,160.6300,160.6300,1820,2023-03-29 18:25:00,AAPL,ONE_DAY
160.6400,160.6400,160.6300,160.6300,914,2023-03-29 18:20:00,AAPL,ONE_DAY
160.6300,160.6400,160.6200,160.6300,2325,2023-03-29 18:15:00,AAPL,ONE_DAY
160.6000,160.6300,160.6000,160.6300,1118,2023-03-29 18:10:00,AAPL,ONE_DAY
160.6100,160.6100,160.5100,160.5100,3527,2023-03-29 18:05:00,AAPL,ONE_DAY
160.6126,160.6400,160.6102,160.6102,1572,2023-03-29 18:00:00,AAPL,ONE_DAY
160.6206,160.6300,160.6200,160.6200,943,2023-03-29 17:55:00,AAPL,ONE_DAY
160.6200,160.6500,160.6200,160.6500,1106,2023-03-29 17:50:00,AAPL,ONE_DAY
160.6400,160.6400,160.6200,160.6200,1540,2023-03-29 17:45:00,AAPL,ONE_DAY
160.6500,160.6500,160.6200,160.6200,1707,2023-03-29 17:40:00,AAPL,ONE_DAY
160.6100,160.6400,160.6100,160.6300,1598,2023-03-29 17:35:00,AAPL,ONE_DAY
160.6300,160.6400,160.6100,160.6400,1440,2023-03-29 17:30:00,AAPL,ONE_DAY
160.6000,160.6500,160.6000,160.6200,2882,2023-03-29 17:25:00,AAPL,ONE_DAY
160.6100,160.6200,160.6000,160.6000,3674,2023-03-29 17:20:00,AAPL,ONE_DAY
160.6400,160.6500,160.6100,160.6300,5338,2023-03-29 17:15:00,AAPL,ONE_DAY
160.6200,160.7700,160.6200,160.6500,184117,2023-03-29 17:10:00,AAPL,ONE_DAY
160.6400,160.7200,160.6200,160.6200,11689,2023-03-29 17:05:00,AAPL,ONE_DAY
160.7200,160.7700,160.6300,160.6300,387801,2023-03-29 17:00:00,AAPL,ONE_DAY
160.7100,160.7300,160.6600,160.7100,7531,2023-03-29 16:55:00,AAPL,ONE_DAY
160.7300,160.7400,160.6400,160.7100,7877,2023-03-29 16:50:00,AAPL,ONE_DAY
160.6400,160.7400,160.6400,160.7300,6542,2023-03-29 16:45:00,AAPL,ONE_DAY
160.6800,160.6900,160.6400,160.6500,5525,2023-03-29 16:40:00,AAPL,ONE_DAY
160.7100,160.7700,160.5700,160.7200,50102,2023-03-29 16:35:00,AAPL,ONE_DAY
160.7200,160.7371,160.6400,160.7100,12958,2023-03-29 16:30:00,AAPL,ONE_DAY
160.6700,160.7700,160.6700,160.7300,33644,2023-03-29 16:25:00,AAPL,ONE_DAY
160.7300,160.7300,160.6300,160.6900,12606,2023-03-29 16:20:00,AAPL,ONE_DAY
160.7500,160.7700,160.6600,160.7300,12739,2023-03-29 16:15:00,AAPL,ONE_DAY
160.7800,160.7800,160.6200,160.7300,159203,2023-03-29 16:10:00,AAPL,ONE_DAY
160.7800,160.9400,160.7000,160.7600,1292250,2023-03-29 16:05:00,AAPL,ONE_DAY
160.6800,160.7900,160.5500,160.7800,1713409,2023-03-29 16:00:00,AAPL,ONE_DAY
160.9500,161.0500,160.6300,160.6800,1537807,2023-03-29 15:55:00,AAPL,ONE_DAY
160.8600,161.0000,160.8400,160.9503,985463,2023-03-29 15:50:00,AAPL,ONE_DAY
160.8400,160.9100,160.7401,160.8650,651615,2023-03-29 15:45:00,AAPL,ONE_DAY
160.8300,160.9000,160.7450,160.8300,667804,2023-03-29 15:40:00,AAPL,ONE_DAY
160.8200,160.8400,160.7200,160.8301,585026,2023-03-29 15:35:00,AAPL,ONE_DAY
160.7800,160.9200,160.7400,160.8300,657117,2023-03-29 15:30:00,AAPL,ONE_DAY
160.7200,160.8400,160.7150,160.7700,582980,2023-03-29 15:25:00,AAPL,ONE_DAY
160.4900,160.7700,160.4742,160.7142,658262,2023-03-29 15:20:00,AAPL,ONE_DAY
160.4000,160.5200,160.3100,160.4861,388660,2023-03-29 15:15:00,AAPL,ONE_DAY
160.4601,160.4800,160.3509,160.4100,401997,2023-03-29 15:10:00,AAPL,ONE_DAY
160.4500,160.6500,160.2950,160.4700,798729,2023-03-29 15:05:00,AAPL,ONE_DAY
160.4600,160.5100,160.3850,160.4450,558894,2023-03-29 15:00:00,AAPL,ONE_DAY
160.2700,160.4900,160.1000,160.4700,791869,2023-03-29 14:55:00,AAPL,ONE_DAY
160.2000,160.2800,160.1400,160.2601,302328,2023-03-29 14:50:00,AAPL,ONE_DAY
160.2500,160.3200,160.1400,160.2000,520232,2023-03-29 14:45:00,AAPL,ONE_DAY
160.2190,160.2900,160.1817,160.2600,350133,2023-03-29 14:40:00,AAPL,ONE_DAY
160.2000,160.2550,160.1450,160.2155,284543,2023-03-29 14:35:00,AAPL,ONE_DAY
160.0850,160.2299,160.0700,160.1950,268230,2023-03-29 14:30:00,AAPL,ONE_DAY
160.0800,160.1850,160.0100,160.0900,291208,2023-03-29 14:25:00,AAPL,ONE_DAY
160.1400,160.1600,160.0050,160.0850,293503,2023-03-29 14:20:00,AAPL,ONE_DAY
160.1300,160.1600,160.0301,160.1400,249551,2023-03-29 14:15:00,AAPL,ONE_DAY
160.0146,160.2000,160.0000,160.1300,332094,2023-03-29 14:10:00,AAPL,ONE_DAY
160.0250,160.0500,159.9000,160.0131,318915,2023-03-29 14:05:00,AAPL,ONE_DAY
159.9900,160.0350,159.9000,160.0200,338763,2023-03-29 14:00:00,AAPL,ONE_DAY
160.1981,160.2100,159.9831,159.9831,340377,2023-03-29 13:55:00,AAPL,ONE_DAY
160.2434,160.2600,160.1300,160.1950,270538,2023-03-29 13:50:00,AAPL,ONE_DAY
160.1000,160.2850,160.0800,160.2401,375412,2023-03-29 13:45:00,AAPL,ONE_DAY
160.2100,160.2500,160.0300,160.0900,466907,2023-03-29 13:40:00,AAPL,ONE_DAY
160.4300,160.4400,160.1700,160.2015,446483,2023-03-29 13:35:00,AAPL,ONE_DAY
160.3800,160.4600,160.3100,160.4200,346259,2023-03-29 13:30:00,AAPL,ONE_DAY
160.2600,160.4100,160.2400,160.3750,294757,2023-03-29 13:25:00,AAPL,ONE_DAY
160.2700,160.3500,160.2250,160.2600,441473,2023-03-29 13:20:00,AAPL,ONE_DAY
160.2700,160.3600,160.2300,160.2752,673944,2023-03-29 13:15:00,AAPL,ONE_DAY
159.9700,160.2950,159.9700,160.2700,676503,2023-03-29 13:10:00,AAPL,ONE_DAY
159.9550,159.9850,159.8400,159.9600,249137,2023-03-29 13:05:00,AAPL,ONE_DAY
160.0200,160.0200,159.8750,159.9550,332112,2023-03-29 13:00:00,AAPL,ONE_DAY
159.8700,160.0300,159.8609,160.0108,282696,2023-03-29 12:55:00,AAPL,ONE_DAY
159.9100,159.9350,159.8000,159.8701,243643,2023-03-29 12:50:00,AAPL,ONE_DAY
159.9950,160.0300,159.8800,159.9100,239165,2023-03-29 12:45:00,AAPL,ONE_DAY
159.9000,160.0177,159.8800,159.9982,270112,2023-03-29 12:40:00,AAPL,ONE_DAY
159.9213,160.0400,159.9054,159.9100,522054,2023-03-29 12:35:00,AAPL,ONE_DAY
159.8500,159.9700,159.8450,159.9300,276079,2023-03-29 12:30:00,AAPL,ONE_DAY
159.9450,159.9800,159.8500,159.8500,333036,2023-03-29 12:25:00,AAPL,ONE_DAY
159.8700,159.9550,159.7100,159.9450,390138,2023-03-29 12:20:00,AAPL,ONE_DAY
159.5900,159.8800,159.5600,159.8800,299657,2023-03-29 12:15:00,AAPL,ONE_DAY
159.8600,159.8600,159.5100,159.5804,400228,2023-03-29 12:10:00,AAPL,ONE_DAY
159.8800,159.9300,159.7800,159.8600,338778,2023-03-29 12:05:00,AAPL,ONE_DAY
159.7900,159.8900,159.7250,159.8700,432397,2023-03-29 12:00:00,AAPL,ONE_DAY
159.9000,159.9050,159.7700,159.7893,320837,2023-03-29 11:55:00,AAPL,ONE_DAY
159.8500,159.9700,159.8500,159.9000,263554,2023-03-29 11:50:00,AAPL,ONE_DAY
159.8900,159.9400,159.7900,159.8417,244359,2023-03-29 11:45:00,AAPL,ONE_DAY
159.9400,160.0000,159.8600,159.8950,354232,2023-03-29 11:40:00,AAPL,ONE_DAY
159.8800,160.0600,159.8600,159.9469,550995,2023-03-29 11:35:00,AAPL,ONE_DAY
159.9250,159.9500,159.7600,159.8719,373555,2023-03-29 11:30:00,AAPL,ONE_DAY
159.6100,159.9614,159.6000,159.9200,523468,2023-03-29 11:25:00,AAPL,ONE_DAY
159.6100,159.7494,159.5000,159.6097,412241,2023-03-29 11:20:00,AAPL,ONE_DAY
159.7600,159.7800,159.5500,159.6085,315978,2023-03-29 11:15:00,AAPL,ONE_DAY
159.7000,159.8100,159.6700,159.7536,360573,2023-03-29 11:10:00,AAPL,ONE_DAY
159.5100,159.7500,159.5000,159.6900,404682,2023-03-29 11:05:00,AAPL,ONE_DAY
159.4200,159.6000,159.3601,159.5106,452927,2023-03-29 11:00:00,AAPL,ONE_DAY
159.5650,159.6200,159.3500,159.4200,417621,2023-03-29 10:55:00,AAPL,ONE_DAY
159.7700,159.7800,159.4600,159.5505,594495,2023-03-29 10:50:00,AAPL,ONE_DAY
159.7250,160.0000,159.6100,159.7700,622814,2023-03-29 10:45:00,AAPL,ONE_DAY
159.7400,159.7400,159.6000,159.7300,446352,2023-03-29 10:40:00,AAPL,ONE_DAY
159.8000,159.8100,159.6400,159.7392,388260,2023-03-29 10:35:00,AAPL,ONE_DAY
159.9000,159.9400,159.6500,159.8050,734202,2023-03-29 10:30:00,AAPL,ONE_DAY
160.0700,160.1400,159.8400,159.9000,539836,2023-03-29 10:25:00,AAPL,ONE_DAY
160.0579,160.1400,159.8850,160.0700,615208,2023-03-29 10:20:00,AAPL,ONE_DAY
160.1600,160.2800,160.0400,160.0500,664903,2023-03-29 10:15:00,AAPL,ONE_DAY
160.2900,160.2900,160.0700,160.1600,785437,2023-03-29 10:10:00,AAPL,ONE_DAY
159.8600,160.3000,159.8600,160.2800,1178119,2023-03-29 10:05:00,AAPL,ONE_DAY
159.8000,159.8600,159.5950,159.8480,561781,2023-03-29 10:00:00,AAPL,ONE_DAY
159.7150,159.8800,159.5800,159.7900,773836,2023-03-29 09:55:00,AAPL,ONE_DAY
159.8200,160.0700,159.6200,159.7199,1117992,2023-03-29 09:50:00,AAPL,ONE_DAY
159.8900,160.0000,159.8000,159.8150,1007930,2023-03-29 09:45:00,AAPL,ONE_DAY
159.8800,160.0800,159.8000,159.8842,1599021,2023-03-29 09:40:00,AAPL,ONE_DAY
159.3700,159.9900,159.3500,159.8800,2378523,2023-03-29 09:35:00,AAPL,ONE_DAY
159.1100,159.3700,159.0000,159.3700,38095,2023-03-29 09:30:00,AAPL,ONE_DAY
