Exchange Name,Exchange Acronym,Exchange Mic Code,Country,Currency,Time Zone,Open Time,Close Time
NewYorkStockExchange,NYSE,XNYS,USA,USD,America/New_York, 09:30, 16:00
Nasdaq,NASDAQ,XNAS,USA,USD,America/New_York, 09:30, 16:00
TokyoStockExchange,TSE,XTKS,Japan,JPY,Asia/Tokyo, 09:00, 15:00
ShanghaiStockExchange,SSE,XSHG,China,CNY,Asia/Shanghai, 09:30, 15:00
HongKongStockExchange,HKEX,XHKG,HongKong,HKD,Asia/Hong_Kong, 09:30, 16:00
LondonStockExchange,LSE,XLON,UnitedKingdom,GBP,Europe/London, 08:00, 16:30
EuronextParis,ENXTPA,XPAR,France,EUR,Europe/Paris, 09:00, 17:30
FrankfurtStockExchange,FSE,XFRA,Germany,EUR,Europe/Berlin, 08:00, 20:00
TorontoStockExchange,TSX,XTSE,Canada,CAD,America/Toronto, 09:30, 16:00
AustralianSecuritiesExchange,ASX,XASX,Australia,AUD,Australia/Sydney, 10:00, 16:00
KoreaExchange,KRX,XKRX,SouthKorea,KRW,Asia/Seoul, 09:00, 15:30
BolsadeMadrid,BME,XTSM,Spain,EUR,Europe/Madrid, 09:00, 17:30
MoscowExchange,MOEX,XMOS,Russia,RUB,Europe/Moscow, 10:00, 18:40
TaiwanStockExchange,TWSE,XTAI,Taiwan,TWD,Asia/Taipei, 09:00, 13:45
BombayStockExchange,BSE,XBOM,India,INR,Asia/Kolkata, 09:15, 15:30
MexicanStockExchange,BMV,XMEX,Mexico,MXN,America/Mexico_City, 08:30, 15:00
SIXSwissExchange,SIX,XSWX,Switzerland,CHF,Europe/Zurich, 09:00, 17:30
SãoPauloStockExchange,B3,XBSP,Brazil,BRL,America/Sao_Paulo, 10:00, 17:00
OsloStockExchange,OSE,XOSL,Norway,NOK,Europe/Oslo, 09:00, 16:20
StockholmStockExchange,OMX,XSTO,Sweden,SEK,Europe/Stockholm, 09:00, 17:30
BolsadeValoresdeLima,BVL,XLIM,Peru,PEN,America/Lima, 09:30, 16:00
BorsaItaliana,MTA,XMIL,Italy,EUR,Europe/Rome, 09:00, 17:25
JohannesburgStockExchange,JSE,XJSE,SouthAfrica,ZAR,Africa/Johannesburg, 09:00, 17:00
TelAvivStockExchange,TASE,XTAE,Israel,ILS,Asia/Jerusalem, 09:30, 16:30
NewZealandStockExchange,NZX,XNZE,NewZealand,NZD,Pacific/Auckland, 10:00, 16:45
SingaporeExchange,SGX,XSES,Singapore,SGD,Asia/Singapore, 09:00, 17:00
TorontoVentureExchange,TSXV,XTSX,Canada,CAD,America/Toronto, 09:30, 16:00
NewZealandStockExchange,NZX,XNZE,NewZealand,NZD,Pacific/Auckland, 10:00, 16:45
StockExchangeofThailand,SET,XBKK,Thailand,THB,Asia/Bangkok, 09:30, 16:30
IndonesiaStockExchange,IDX,XIDX,Indonesia,IDR,Asia/Jakarta, 09:00, 15:00
BudapestStockExchange,BET,XBUD,Hungary,HUF,Europe/Budapest, 09:00, 16:00
WarsawStockExchange,WSE,XWAR,Poland,PLN,Europe/Warsaw, 09:00, 17:00
AthensStockExchange,ASE,ATHEX,Greece,EUR,Europe/Athens, 10:00, 17:20
BucharestStockExchange,BVB,XBSE,Romania,RON,Europe/Bucharest, 09:30, 16:45
EgyptianExchange,EGX,XCAI,Egypt,EGP,Africa/Cairo, 10:00, 14:30
IstanbulStockExchange,ISE,XIST,Turkey,TRY,Europe/Istanbul, 09:40, 18:10
StockExchangeofMauritius,SEM,XSEM,Mauritius,MUR,Indian/Mauritius, 09:30, 13:30
NigerianStockExchange,NGSE,XNSA,Nigeria,NGN,Africa/Lagos, 09:30, 14:30
SaudiStockExchange,TADAWUL,XSAU,SaudiArabia,SAR,Asia/Riyadh, 10:00, 15:30
DubaiFinancialMarket,DFM,XDFM,UnitedArabEmirates,AED,Asia/Dubai, 10:00, 14:00
MexicanDerivativesExchange,MEXDER,XMEX,Mexico,MXN,America/Mexico_City, 08:30, 15:00
MoscowExchangeDerivativesMarket,MOEX,XMOS,Russia,RUB,Europe/Moscow, 10:00, 23:50
SingaporeExchange,SGX,XSES,Singapore,SGD,Asia/Singapore, 09:00, 17:00
IntercontinentalExchange(ICE),ICE,XNYM,USA,USD,America/New_York, 09:00, 14:30
ChicagoMercantileExchange(CME),CME,XCBT,USA,USD,America/Chicago, 17:00, 16:00
